Epoch	Train loss	Val acc
215	2.6378207	-1.0
216	3.8630605	0.73062986
217	3.658168	-1.0
218	3.8554566	0.73203933
219	2.9172769	-1.0
220	3.4187448	0.7318581
221	3.6913047	-1.0
222	4.1667023	0.73155606
223	3.1100528	-1.0
224	2.5538278	0.73081106
225	3.7525773	-1.0
226	4.095165	0.73137486
227	3.3920784	-1.0
228	3.8278682	0.7331065
229	3.5095224	-1.0
230	2.834996	0.7307104
231	4.152892	-1.0
232	3.6587589	0.73119366
233	4.1136885	-1.0
234	4.014662	0.73234135
235	3.0296984	-1.0
236	4.339667	0.73282456
237	4.4237485	-1.0
238	3.9207797	0.73244196
239	3.551477	-1.0
240	2.8314004	0.7321601
241	2.8726568	-1.0
242	3.9923687	0.7329856
243	3.7809458	-1.0
244	3.4444163	0.73209965
245	2.588313	-1.0
246	2.6410184	0.73348904
247	3.9923916	-1.0
248	3.6702924	0.73268366
249	3.9240656	-1.0
250	3.859531	0.7314554
251	2.7674758	-1.0
252	4.090446	0.731838
253	3.7223606	-1.0
254	3.4289935	0.7322004
255	3.9049013	-1.0
256	3.7973456	0.731395
257	3.4561167	-1.0
258	3.8418047	0.7329856
259	2.9341536	-1.0
260	2.8110094	0.7328447
261	4.128866	-1.0
262	3.789422	0.7318782
263	2.5947452	-1.0
264	3.7574162	0.7332071
265	2.7596514	-1.0
266	4.028142	0.7324017
267	2.762442	-1.0
268	3.6161885	0.73105264
269	2.9631782	-1.0
270	3.9944491	0.73308635
271	3.8691847	-1.0
272	3.6351385	0.7327038
273	3.0378737	-1.0
274	2.9953604	0.733932
275	4.2058144	-1.0
276	3.2555585	0.7328447
277	2.3981237	-1.0
278	2.6318517	0.7330662
279	3.6684656	-1.0
280	3.0461497	0.7320795
281	3.138638	-1.0
282	3.8099833	0.73270375
283	2.5911484	-1.0
284	3.521	0.7333682
285	3.5567315	-1.0
286	3.8304424	0.734073
287	4.0163684	-1.0
288	3.5696893	0.732442
289	3.4767842	-1.0
290	3.1036596	0.7340126
291	3.8403811	-1.0
292	3.2611637	0.73344874
293	3.2195725	-1.0
294	3.345899	0.73286486
295	3.4675944	-1.0
296	3.9310572	0.73365015
297	3.9788733	-1.0
298	3.7744002	0.7314956
299	2.3868265	-1.0
300	3.800763	0.7324219
