Epoch	TrainLoss	ValAcc	Time
174	3.6224785	78.326	485.39
175	2.1442347	78.390	487.88
176	3.9635477	78.428	487.12
177	3.7611341	78.544	484.51
178	3.5301447	78.512	483.59
179	2.4231589	78.376	487.03
180	3.2946339	78.508	487.36
181	3.5030372	78.880	488.85
182	1.9936892	78.840	486.31
183	3.4409611	78.836	487.74
184	3.4614608	78.752	486.60
185	3.5137422	78.780	484.40
186	3.5833352	78.772	484.31
187	2.0903709	78.684	484.92
188	3.4006290	79.084	489.74
189	2.7114146	79.058	486.68
190	3.2256305	78.830	486.93
191	2.0148766	79.062	486.09
192	2.4456217	79.068	486.68
193	3.8602524	79.130	486.52
194	2.2486944	79.136	487.28
195	1.7950653	79.078	484.48
196	3.1806843	79.178	487.25
197	3.5190141	79.164	485.81
198	3.0595844	79.292	487.00
199	3.3354778	79.396	487.33
200	2.6501820	79.322	483.61
201	3.5089419	79.434	488.74
202	3.3971508	79.486	486.20
203	3.6016531	79.500	487.08
204	2.0070145	79.672	486.44
205	3.4890509	79.616	484.36
206	3.1947062	79.666	487.37
207	3.1911600	79.718	486.89
208	1.9037962	79.826	487.44
209	1.8562115	79.684	487.82
210	3.6713133	79.846	487.60
211	2.8438158	79.808	483.33
212	3.2178860	79.774	487.65
213	2.8372748	79.868	488.64
214	1.9046141	79.778	484.80
215	2.2846949	79.926	486.98
216	3.4136293	79.872	483.76
217	2.1607361	80.072	487.49
218	3.2848427	80.022	485.71
219	1.9554895	80.180	487.04
220	1.8544011	80.016	486.16
221	3.4741983	80.058	488.64
222	3.9797122	80.264	488.16
223	2.8879843	80.468	487.69
224	1.8397845	80.130	486.92
225	1.9231435	80.320	488.66
226	3.4800956	80.414	487.91
227	1.8389803	80.382	486.13
228	2.3042817	80.402	487.54
229	2.8586433	80.448	486.78
230	1.8055452	80.504	487.74
231	1.7494041	80.398	485.18
232	2.0898614	80.474	485.23
233	3.8127725	80.624	487.03
234	2.3449044	80.444	484.38
235	3.2263377	80.550	486.99
236	1.8833221	80.610	486.47
237	1.8663398	80.510	486.54
238	2.7925777	80.588	486.42
239	2.2542048	80.620	484.42
240	3.3270607	80.780	486.04
241	3.1525154	80.842	488.79
242	2.1130750	80.800	485.22
243	3.6397173	80.712	483.13
244	3.4275553	80.674	486.85
245	3.2240169	80.776	484.98
246	1.8005706	80.878	483.81
247	1.7621059	80.864	484.94
248	3.1404116	81.002	488.72
249	2.9476376	81.044	485.45
250	3.2657061	81.000	484.97
251	1.8314643	80.948	486.86
252	3.0091140	80.958	485.41
253	2.1744525	81.008	487.56
254	1.6576424	80.958	485.91
255	3.4760811	80.920	487.78
256	2.5391419	81.266	487.59
257	2.6232731	81.140	486.07
258	3.3802912	81.124	483.68
259	1.8310381	81.234	487.90
260	2.7850533	81.248	488.10
261	2.8286574	81.156	487.82
262	1.9257120	81.148	486.92
263	2.6588957	81.248	486.02
264	1.5892071	81.266	486.02
265	3.4677010	81.106	487.54
266	3.4895401	81.214	487.35
267	1.7449126	81.322	487.83
268	3.1561890	81.240	484.32
269	3.1685359	81.178	486.64
270	2.9986773	81.340	486.16
271	2.8020623	81.388	487.90
272	3.0344503	81.376	486.73
273	2.9544144	81.430	487.08
274	3.1387842	81.328	485.74
275	2.9228661	81.366	485.33
276	1.7226955	81.430	486.33
277	3.0554349	81.432	483.74
278	1.9625865	81.374	482.87
279	2.2477274	81.338	489.40
280	1.5844096	81.422	488.31
281	2.1563239	81.496	488.35
282	3.3061876	81.520	487.46
283	3.2717040	81.546	487.99
284	1.7377836	81.520	484.93
285	1.7125243	81.608	488.83
286	1.7863199	81.510	483.98
287	1.6456385	81.484	485.97
288	2.6807120	81.582	487.61
289	2.4917710	81.536	486.69
290	3.0104125	81.540	489.39
291	2.7727492	81.566	487.34
292	3.0865986	81.564	487.29
293	3.1128471	81.582	487.18
294	2.6782320	81.568	488.98
295	1.9100314	81.584	487.13
296	2.7049859	81.568	487.19
297	3.2000399	81.560	488.25
298	2.6142001	81.574	487.59
299	1.7738376	81.576	486.58
300	3.0241964	81.590	474.17
